image_id,original_image,bev_image,usable_area_percent,black_area_percent,sharpness_score,blur_status,original_edge_density,bev_edge_density,edge_preservation_ratio,edge_status,ssim_score,ssim_status,original_aspect_ratio,bev_aspect_ratio,aspect_ratio_change,aspect_ratio_status,brightness_ratio,contrast_ratio,brightness_contrast_status,bev_usability_score,final_status
1,sukshi_parking/1.jpeg,bev/1_bev.png,93.6399,6.3601,186.0293,sharp,0.125508,0.069491,0.553676,good,0.213206,poor,2.144054,1.0,0.466406,poor,0.929079,1.103061,good,69.01,usable_for_v1
10,sukshi_parking/10.jpeg,bev/10_bev.png,84.7555,15.2445,292.2435,sharp,0.158824,0.072754,0.458082,poor,0.162691,poor,2.144054,1.0,0.466406,poor,1.286897,1.417689,good,67.693,usable_for_v1
11,sukshi_parking/11.jpeg,bev/11_bev.png,84.6567,15.3433,258.3752,sharp,0.184444,0.067768,0.367419,poor,0.151515,poor,2.144054,1.0,0.466406,poor,1.081672,1.314981,good,64.3361,needs_review
12,sukshi_parking/12.jpeg,bev/12_bev.png,86.4728,13.5272,215.4983,sharp,0.162089,0.058709,0.362203,poor,0.179687,poor,2.144054,1.0,0.466406,poor,1.076945,1.256296,good,62.3021,needs_review
13,sukshi_parking/13.jpeg,bev/13_bev.png,86.7105,13.2895,288.3441,sharp,0.169591,0.068276,0.402594,poor,0.166493,poor,2.144054,1.0,0.466406,poor,1.052912,1.201454,good,67.4239,usable_for_v1
14,sukshi_parking/14.jpeg,bev/14_bev.png,85.4554,14.5446,285.7006,sharp,0.178522,0.074051,0.4148,poor,0.153725,poor,2.144054,1.0,0.466406,poor,1.084139,1.291665,good,66.8644,usable_for_v1
15,sukshi_parking/15.jpeg,bev/15_bev.png,87.7678,12.2322,298.2017,sharp,0.130931,0.061969,0.473292,poor,0.19002,poor,2.144054,1.0,0.466406,poor,0.905085,1.112959,good,69.4053,usable_for_v1
16,sukshi_parking/16.jpeg,bev/16_bev.png,92.9787,7.0213,214.8568,sharp,0.130958,0.033619,0.256719,poor,0.223637,poor,2.144054,1.0,0.466406,poor,1.091053,1.059548,good,63.4902,needs_review
17,sukshi_parking/17.jpeg,bev/17_bev.png,96.5215,3.4785,41.9119,blurry,0.151696,0.018636,0.122852,poor,0.215558,poor,2.144054,1.0,0.466406,poor,1.193095,1.140982,good,51.3864,needs_review
18,sukshi_parking/18.jpeg,bev/18_bev.png,99.9988,0.0012,57.9835,blurry,0.097266,0.024947,0.256477,poor,0.310703,poor,2.144054,1.0,0.466406,poor,1.099617,0.843645,good,56.0906,needs_review
19,sukshi_parking/19.jpeg,bev/19_bev.png,97.678,2.322,125.2583,sharp,0.104885,0.035306,0.336611,poor,0.271362,poor,2.144054,1.0,0.466406,poor,1.17319,0.950557,good,60.2066,needs_review
2,sukshi_parking/2.jpeg,bev/2_bev.png,86.2201,13.7799,277.0582,sharp,0.140213,0.078739,0.561565,good,0.175347,poor,2.144054,1.0,0.466406,poor,0.846129,1.136082,good,72.6558,usable_for_v1
20,sukshi_parking/20.jpeg,bev/20_bev.png,93.2626,6.7374,115.7556,sharp,0.138631,0.027461,0.198088,poor,0.225534,poor,2.144054,1.0,0.466406,poor,1.128542,1.348467,good,56.3966,needs_review
21,sukshi_parking/21.jpeg,bev/21_bev.png,91.6456,8.3544,93.795,blurry,0.134574,0.026528,0.197125,poor,0.223039,poor,2.144054,1.0,0.466406,poor,1.088053,1.293702,good,54.4812,needs_review
